location,Company,Model,ModelType,Year,Kms,Fuel,Car_Type,Transmission,Color,No_of_owner,RTO,Insurance,Price
Mumbai,Nissan,Sunny,XV,Apr 2014,"38,178",Petrol,Manual,Manual,Grey,First,Panvel,"Comprehensive , till 02 Jan 2022",₹ 4.25 Lakh
Mumbai,Hyundai,Verna,1.4 VTVT,Feb 2015,"23,740",Petrol,Manual,Manual,Blue,First,Mumbai,"Comprehensive , till 28 Mar 2022",₹ 5.25 Lakh
Kolkata,Honda,WR-V,VX MT Petrol,May 2018,"37,130",Petrol,Manual,Manual,Black,First,Howrah,Not Available,₹ 7.4 Lakh
Mumbai,Hyundai,Xcent,S 1.2,Sep 2014,"43,893",Petrol,Manual,Manual,Silver,First,Mumbai,"Comprehensive , till 15 Sep 2021",₹ 4.2 Lakh
Bangalore,Hyundai,Creta,SX Plus 1.6 Petrol,Feb 2019,"20,407",Petrol,Manual,Manual,White,First,BENGALURU,"Comprehensive , till 16 Feb 2022",₹ 12.85 Lakh
Bangalore,BMW,3-Series,320d Luxury Line [2014-2016],Oct 2018,"40,184",Diesel,Automatic,Automatic,White,First,MYSORE,"Comprehensive , till 02 Feb 2022",₹ 38.45 Lakh
Bangalore,Mahindra,XUV500,W6,Dec 2017,"11,344",Diesel,Manual,Manual,White,First,BENGALURU,"Comprehensive , till 12 Dec 2021",₹ 13.75 Lakh
Bangalore,Maruti Suzuki,Ciaz,Alpha Hybrid 1.5 AT [2018-2020],Feb 2018,"21,030",Petrol,Automatic,Automatic,Blue,First,BENGALURU,"Comprehensive , till 11 Apr 2022",₹ 9.95 Lakh
Bangalore,Maruti Suzuki,Celerio,VXi AMT,Sep 2014,"61,712",Petrol,Automatic,Automatic,Grey,Second,BENGALURU,"Comprehensive , till 05 Nov 2021",₹ 3.95 Lakh
Bangalore,Hyundai,Grand i10,Sports Edition 1.2L Kappa VTVT,Jan 2018,"20,397",Petrol,Manual,Manual,Blue,First,BENGALURU,"Comprehensive , till 15 Jan 2022",₹ 5.99 Lakh
Bangalore,Hyundai,Creta,SX Plus 1.6 Petrol,Jul 2017,"24,099",Petrol,Manual,Manual,Black,First,BENGALURU,"Comprehensive , till 31 Jul 2021",₹ 11.75 Lakh
Bangalore,Maruti Suzuki,Swift DZire,VDI,Sep 2013,"65,407",Diesel,Manual,Manual,White,First,BENGALURU,"Comprehensive , till 06 Oct 2021",₹ 5.45 Lakh
Bangalore,Honda,City,V,Dec 2019,"8,176",Petrol,Manual,Manual,Brown,Second,BENGALURU,Not Available,₹ 10.95 Lakh
Bangalore,Maruti Suzuki,Wagon R,VXI AMT,May 2017,"37,797",Petrol,Automatic,Automatic,Red,First,BENGALURU,Not Available,₹ 4.65 Lakh
Bangalore,Toyota,Corolla Altis,VL AT Petrol,May 2016,"40,527",Petrol,Automatic,Automatic,Grey,First,BENGALURU,"Comprehensive , till 30 Aug 2021",₹ 13.95 Lakh
Bangalore,Mahindra,XUV500,W11(O) [2018-2020],May 2018,"46,087",Diesel,Manual,Manual,White,First,BENGALURU,"Comprehensive , till 12 Apr 2021",₹ 17.99 Lakh
Bangalore,Mahindra,XUV500,W11,Apr 2019,"36,507",Diesel,Manual,Manual,Black,First,CHIKAMAGALUR,Not Available,₹ 18.25 Lakh
Bangalore,Mahindra,XUV500,W11,May 2018,"40,217",Diesel,Manual,Manual,Red,First,BENGALURU,Not Available,₹ 17.7 Lakh
Bangalore,Mahindra,XUV500,W11(O) [2018-2020],Jan 2019,"28,662",Diesel,Manual,Manual,Red,First,BENGALURU,"Third Party , till 18 Jan 2022",₹ 18.25 Lakh
Bangalore,Kia,Seltos,GTX Plus 1.4 [2020-2021],Nov 2019,"2,368",Petrol,Manual,Manual,Silver,First,BENGALURU,"Comprehensive , till 13 Nov 2021",₹ 18.25 Lakh
Bangalore,Skoda,Rapid,1.6 MPI Elegance Plus AT,Dec 2015,"66,390",Petrol,Automatic,Automatic,Silver,First,BENGALURU,Not Available,₹ 7.45 Lakh
Bangalore,Nissan,Micra,XV CVT,Nov 2017,"61,562",Petrol,Automatic,Automatic,Black,First,BENGALURU,"Third Party , till 13 Feb 2022",₹ 5.45 Lakh
Bangalore,Maruti Suzuki,DZire,VXi,Aug 2018,"50,217",Petrol,Manual,Manual,White,First,BENGALURU,"Comprehensive , till 26 Oct 2021",₹ 6.75 Lakh
Thane,Ford,Figo,Duratorq Diesel Titanium 1.4,Jun 2011,"99,123",Diesel,Manual,Manual,White,Second,Not Available,Not Available,₹ 2.85 Lakh
Mumbai,Tata,Hexa,XTA 4x2 7 STR,Jun 2017,"35,000",Diesel,Automatic,Automatic,Blue,First,Not Available,Comprehensive,₹ 12.65 Lakh
Bangalore,Maruti Suzuki,Celerio,VXi AMT [2017-2019],Mar 2018,"19,579",Petrol,Automatic,Automatic,White,First,Not Available,"Comprehensive , till 22 Mar 2022",₹ 4.99 Lakh
Mumbai,Mercedes-Benz,C-Class,200 CGI Avantgarde,Jan 2011,"66,700",Petrol,Automatic,Automatic,White,First,Not Available,Not Available,₹ 12.58 Lakh
Chandigarh,Mercedes-Benz,E-Class,250 D (W210),Jun 2013,"90,000",Diesel,Manual,Manual,White,First,Not Available,Comprehensive,₹ 17.5 Lakh
Kanpur,Maruti Suzuki,Alto 800,Lxi,Jun 2014,"67,002",Petrol,Manual,Manual,White,First,Not Available,Comprehensive,₹ 2.2 Lakh
Bangalore,Mahindra,Quanto,C8,Jun 2013,"36,100",Diesel,Manual,Manual,Beige,First,Not Available,Not Available,₹ 4.95 Lakh
Lakhimpur Kheri,Honda,Amaze,1.5 E i-DTEC,Jun 2013,"68,000",Diesel,Manual,Manual,Silver,First,Not Available,Comprehensive,₹ 3.3 Lakh
Mumbai,Nissan,Sunny,XV,Apr 2014,"38,178",Petrol,Manual,Manual,Grey,First,Panvel,"Comprehensive , till 02 Jan 2022",₹ 4.25 Lakh
Mumbai,Hyundai,Creta,1.6 SX (O),Nov 2015,"59,286",Diesel,Manual,Manual,Red,First,Mumbai,"Comprehensive , till 20 Feb 2022",₹ 9.95 Lakh
Mumbai,Hyundai,Verna,1.4 VTVT,Feb 2015,"23,740",Petrol,Manual,Manual,Blue,First,Mumbai,"Comprehensive , till 28 Mar 2022",₹ 5.25 Lakh
Kolkata,Honda,WR-V,VX MT Petrol,May 2018,"37,130",Petrol,Manual,Manual,Black,First,Howrah,Not Available,₹ 7.4 Lakh
Mumbai,Hyundai,Xcent,S 1.2,Sep 2014,"43,893",Petrol,Manual,Manual,Silver,First,Mumbai,"Comprehensive , till 15 Sep 2021",₹ 4.2 Lakh
Bangalore,Hyundai,Creta,SX Plus 1.6 Petrol,Feb 2019,"20,407",Petrol,Manual,Manual,White,First,BENGALURU,"Comprehensive , till 16 Feb 2022",₹ 12.85 Lakh
Bangalore,BMW,3-Series,320d Luxury Line [2014-2016],Oct 2018,"40,184",Diesel,Automatic,Automatic,White,First,MYSORE,"Comprehensive , till 02 Feb 2022",₹ 38.45 Lakh
Bangalore,Mahindra,XUV500,W6,Dec 2017,"11,344",Diesel,Manual,Manual,White,First,BENGALURU,"Comprehensive , till 12 Dec 2021",₹ 13.75 Lakh
Bangalore,Hyundai,Creta,1.6 SX Plus AT Petrol,May 2017,"74,811",Petrol,Automatic,Automatic,White,First,BENGALURU,"Comprehensive , till 10 May 2022",₹ 11.65 Lakh
Bangalore,Maruti Suzuki,Ciaz,Alpha Hybrid 1.5 AT [2018-2020],Feb 2018,"21,030",Petrol,Automatic,Automatic,Blue,First,BENGALURU,"Comprehensive , till 11 Apr 2022",₹ 9.95 Lakh
Bangalore,Maruti Suzuki,Swift DZire,VDI,Sep 2013,"65,407",Diesel,Manual,Manual,White,First,BENGALURU,"Comprehensive , till 06 Oct 2021",₹ 5.45 Lakh
Bangalore,Honda,City,V,Dec 2019,"8,176",Petrol,Manual,Manual,Brown,Second,BENGALURU,Not Available,₹ 10.95 Lakh
Bangalore,Hyundai,Grand i10,Sports Edition 1.2L Kappa VTVT,Jan 2018,"20,397",Petrol,Manual,Manual,Blue,First,BENGALURU,"Comprehensive , till 15 Jan 2022",₹ 5.99 Lakh
Bangalore,Maruti Suzuki,Celerio,VXi AMT,Sep 2014,"61,712",Petrol,Automatic,Automatic,Grey,Second,BENGALURU,"Comprehensive , till 05 Nov 2021",₹ 3.95 Lakh
Bangalore,Maruti Suzuki,Wagon R,VXI AMT,May 2017,"37,797",Petrol,Automatic,Automatic,Red,First,BENGALURU,Not Available,₹ 4.65 Lakh
Bangalore,Hyundai,Creta,SX Plus 1.6 Petrol,Jul 2017,"24,099",Petrol,Manual,Manual,Black,First,BENGALURU,"Comprehensive , till 31 Jul 2021",₹ 11.75 Lakh
Bangalore,Nissan,Micra,XV CVT,Nov 2017,"61,562",Petrol,Automatic,Automatic,Black,First,BENGALURU,"Third Party , till 13 Feb 2022",₹ 5.45 Lakh
Bangalore,Skoda,Rapid,1.6 MPI Elegance Plus AT,Dec 2015,"66,390",Petrol,Automatic,Automatic,Silver,First,BENGALURU,Not Available,₹ 7.45 Lakh
Bangalore,Mahindra,XUV500,W11(O) [2018-2020],Jan 2019,"28,662",Diesel,Manual,Manual,Red,First,BENGALURU,"Third Party , till 18 Jan 2022",₹ 18.25 Lakh
Bangalore,Kia,Seltos,GTX Plus 1.4 [2020-2021],Nov 2019,"2,368",Petrol,Manual,Manual,Silver,First,BENGALURU,"Comprehensive , till 13 Nov 2021",₹ 18.25 Lakh
Bangalore,Mahindra,XUV500,W11(O) [2018-2020],May 2018,"46,087",Diesel,Manual,Manual,White,First,BENGALURU,"Comprehensive , till 12 Apr 2021",₹ 17.99 Lakh
Bangalore,Mahindra,XUV500,W11,Apr 2019,"36,507",Diesel,Manual,Manual,Black,First,CHIKAMAGALUR,Not Available,₹ 18.25 Lakh
Bangalore,Mahindra,XUV500,W11,May 2018,"40,217",Diesel,Manual,Manual,Red,First,BENGALURU,Not Available,₹ 17.7 Lakh
Bangalore,Toyota,Fortuner,2.8 4x2 MT [2016-2020],Feb 2019,"22,700",Diesel,Manual,Manual,Brown,First,Gokak,"Comprehensive , till 02 Oct 2021",₹ 31.99 Lakh
Bangalore,Maruti Suzuki,Ciaz,Alpha 1.4 MT,Jun 2018,"15,116",Petrol,Manual,Manual,White,First,BELGAUM,"Comprehensive , till 28 Jun 2022",₹ 9.49 Lakh
Bangalore,Hyundai,Creta,1.6 SX Plus AT Petrol,May 2017,"74,811",Petrol,Automatic,Automatic,White,First,BENGALURU,"Comprehensive , till 10 May 2022",₹ 11.65 Lakh
Bangalore,Toyota,Fortuner,2.8 4x2 MT [2016-2020],Feb 2019,"22,700",Diesel,Manual,Manual,Brown,First,Gokak,"Comprehensive , till 02 Oct 2021",₹ 31.99 Lakh
Bangalore,Maruti Suzuki,S-Presso,Vxi (O) AMT,Dec 2020,"1,852",Petrol,Automatic,Automatic,Red,First,BENGALURU,"Comprehensive , till 03 Dec 2023",₹ 4.99 Lakh
Bangalore,Honda,City,V,Apr 2018,"40,532",Petrol,Manual,Manual,Brown,First,BENGALURU,Not Available,₹ 9.45 Lakh
Bangalore,Maruti Suzuki,Eeco,7 STR [2019-2020],Dec 2019,"3,608",Petrol,Manual,Manual,White,First,BENGALURU,Not Available,₹ 4.25 Lakh
Bangalore,Hyundai,Creta,SX Plus 1.6 Petrol,Mar 2016,"12,228",Petrol,Manual,Manual,White,First,BENGALURU,Not Available,₹ 11.15 Lakh
Bangalore,Hyundai,Creta,SX 1.6 AT Petrol,Nov 2018,"3,232",Petrol,Automatic,Automatic,Orange,First,ANANTAPUR,"Comprehensive , till 03 Dec 2021",₹ 13.45 Lakh
Bangalore,Toyota,Corolla Altis,1.8 J,Aug 2014,"72,490",Petrol,Manual,Manual,Grey,Second,BENGALURU,"Comprehensive , till 14 Aug 2021",₹ 8.45 Lakh
Bangalore,Hyundai,Creta,1.6 SX Plus AT Petrol,Jun 2017,"21,763",Petrol,Automatic,Automatic,White,First,BENGALURU,"Comprehensive , till 24 Jul 2022",₹ 12.45 Lakh
Bangalore,Maruti Suzuki,Swift,ZXi AMT [2018-2019],Jun 2019,"7,237",Petrol,Automatic,Automatic,White,First,BENGALURU,"Comprehensive , till 05 Jun 2022",₹ 7.75 Lakh
Bangalore,Hyundai,Venue,SX 1.5 CRDi,Sep 2020,"3,474",Diesel,Manual,Manual,Grey,First,BENGALURU,"Comprehensive , till 09 Sep 2023",₹ 11.45 Lakh
Bangalore,Skoda,Rapid,1.5 TDI CR Elegance AT,Mar 2015,"60,915",Diesel,Automatic,Automatic,Brown,Second,BENGALURU,"Comprehensive , till 10 Sep 2021",₹ 7.45 Lakh
Bangalore,Hyundai,Elite i20,Asta 1.2 (O),Jun 2019,"20,496",Petrol,Manual,Manual,Grey,First,UDUPI,"Comprehensive , till 09 Jul 2021",₹ 8.45 Lakh
Bangalore,Hyundai,Grand i10,Sports Edition 1.2L Kappa VTVT,Aug 2018,"23,405",Petrol,Manual,Manual,Silver,First,BENGALURU,"Comprehensive , till 22 Nov 2021",₹ 5.99 Lakh
Bangalore,Ford,Ecosport,Titanium 1.5L TDCi,Jun 2017,"66,703",Diesel,Manual,Manual,White,First,BENGALURU,Not Available,₹ 8.45 Lakh
Kolkata,Hyundai,Creta,SX 1.6 (O) Executive Petrol,Jan 2019,"23,444",Petrol,Manual,Manual,Black,First,beltala,Not Available,₹ 12 Lakh
Noida,Maruti Suzuki,Swift DZire,VDI,Feb 2014,"48,816",Diesel,Manual,Manual,Grey,First,Noida,Not Available,₹ 4.5 Lakh
Kolkata,Hyundai,Elite i20,Sportz 1.2 (O),Mar 2016,"45,180",Petrol,Manual,Manual,White,First,beltala,Not Available,₹ 5 Lakh
Kolkata,Renault,Kwid,1.0 RXT Opt [2016-2019],Mar 2017,"6,369",Petrol,Manual,Manual,Silver,First,beltala,"Comprehensive , till 20 Jun 2022",₹ 3.7 Lakh
Kolkata,Maruti Suzuki,S-Cross,Alpha 1.6,Jan 2019,"43,829",Diesel,Manual,Manual,Brown,Second,Rampurhat,Not Available,₹ 8.5 Lakh
Bangalore,Hyundai,Elite i20,Asta 1.2,May 2018,"14,862",Petrol,Manual,Manual,Red,First,BENGALURU,"Comprehensive , till 15 May 2021",₹ 7.99 Lakh
Bangalore,Maruti Suzuki,Celerio,VXi [2019-2020],Jan 2019,"58,529",Petrol,Manual,Manual,Silver,First,BENGALURU,"Comprehensive , till 12 Apr 2022",₹ 4.99 Lakh
Bangalore,MG,Hector,Super Hybrid 1.5 Petrol [2019-2020],Sep 2020,"6,530",Hybrid,Manual,Manual,White,First,BENGALURU,"Comprehensive , till 29 Sep 2021",₹ 15.65 Lakh
Noida,Renault,Duster,110 PS RxL,Feb 2016,"61,926",Diesel,Manual,Manual,White,First,Noida,Not Available,₹ 5 Lakh
Pune,Maruti Suzuki,Alto,LXi BS-III,Jun 2009,"54,155",Petrol,Manual,Manual,Blue,First,Not Available,Third Party,₹ 1.52 Lakh
Pune,Chevrolet,Spark,LT 1.0,Jun 2011,"45,223",Petrol,Manual,Manual,Gold,First,Not Available,Third Party,₹ 1.49 Lakh
Pune,Tata,Vista,Aqua 1.4 TDI,Jun 2009,"65,211",Diesel,Manual,Manual,Silver,Second,Not Available,Not Available,₹ 1.99 Lakh
Chennai,Maruti Suzuki,Swift,VXi,Jun 2005,"78,000",Petrol,Manual,Manual,Blue,Fourth,Not Available,Third Party,₹ 2.35 Lakh
Pune,Chevrolet,Spark,E 1.0,Jun 2009,"29,551",Petrol,Manual,Manual,Black,First,Not Available,Third Party,₹ 1.35 Lakh
Chennai,Skoda,Rapid,Ambition 1.6 TDI CR MT,Jun 2014,"1,40,000",Diesel,Manual,Manual,Silver,Second,Not Available,Not Available,₹ 4.3 Lakh
Chennai,Hyundai,Xcent,SX 1.1 CRDi (O),Jun 2015,"76,201",Diesel,Manual,Manual,Red,First,Not Available,Comprehensive,₹ 4.75 Lakh
Chennai,Maruti Suzuki,Ritz,Vdi (ABS) BS-IV,Jun 2010,"87,201",Diesel,Manual,Manual,Silver,First,Not Available,Comprehensive,₹ 2.58 Lakh
Chennai,Hyundai,i10,Magna 1.2 Kappa2,Jun 2010,"77,010",Petrol,Manual,Manual,Red,First,Not Available,Comprehensive,₹ 2.65 Lakh
Delhi,Hyundai,Grand i10,Asta AT 1.2 Kappa VTVT [2013-2016],Jun 2015,"56,000",Petrol,Automatic,Automatic,White,First,Not Available,Comprehensive,₹ 5.1 Lakh
Delhi,Maruti Suzuki,Swift DZire,VDI,Jun 2014,"67,000",Diesel,Manual,Manual,White,First,Not Available,Comprehensive,₹ 4.3 Lakh
Mumbai,Mercedes-Benz,GLA,200 CDI Sport,Jun 2015,"51,700",Diesel,Automatic,Automatic,White,First,Panvel,Not Available,₹ 23 Lakh
Mumbai,Mercedes-Benz,C-Class,200 CGI Avantgarde,Jan 2011,"66,700",Petrol,Automatic,Automatic,White,First,Not Available,Not Available,₹ 12.58 Lakh
Mumbai,Maruti Suzuki,Ertiga,VXI AT,Apr 2016,"57,543",Petrol,Automatic,Automatic,Grey,First,Mumbai,"Comprehensive , till 18 Aug 2021",₹ 7.45 Lakh
Mumbai,Volkswagen,Vento,Highline Petrol,Jan 2018,"27,130",Petrol,Manual,Manual,Grey,First,Mumbai,"Comprehensive , till 29 Apr 2022",₹ 7.45 Lakh
Mumbai,Volkswagen,Vento,Highline Plus 1.2 (P) AT 16 Alloy,Jan 2016,"45,259",Petrol,Automatic,Automatic,Grey,First,Mumbai,"Comprehensive , till 08 Mar 2022",₹ 7.45 Lakh
Mumbai,Mercedes-Benz,E-Class,E 200,Jun 2017,"28,134",Petrol,Automatic,Automatic,Black,First,Not Available,Not Available,₹ 44.5 Lakh
Mumbai,BMW,3-Series,320d Luxury Line,Feb 2014,"88,862",Diesel,Automatic,Automatic,White,Second,Not Available,Not Available,₹ 14.5 Lakh
Mumbai,Mercedes-Benz,C-Class,C 200 Avantgarde,Aug 2014,"50,018",Petrol,Automatic,Automatic,Brown,Second,Not Available,Not Available,₹ 14.25 Lakh
Pune,Ford,Ecosport,Titanium 1.5 TDCi (Opt),Jun 2018,"95,000",Diesel,Manual,Manual,Black,First,Not Available,Not Available,₹ 9.25 Lakh
Mumbai,Volkswagen,Polo,Comfortline 1.2L (P),Mar 2018,"10,930",Petrol,Manual,Manual,White,First,Not Available,"Comprehensive , till 24 May 2022",₹ 5.95 Lakh
Bangalore,Mahindra,XUV500,W6,Jan 2012,"1,27,570",Diesel,Manual,Manual,White,First,Not Available,Not Available,₹ 8.4 Lakh
Bangalore,Mahindra,Bolero,Power Plus ZLX [2016-2019],Nov 2016,"1,02,914",Diesel,Manual,Manual,White,First,Not Available,Comprehensive,₹ 7.45 Lakh
Bangalore,Maruti Suzuki,Celerio,VXi AMT [2017-2019],Mar 2018,"19,579",Petrol,Automatic,Automatic,White,First,Not Available,"Comprehensive , till 22 Mar 2022",₹ 4.99 Lakh
Bangalore,Hyundai,Grand i10,Asta AT 1.2 Kappa VTVT (O) [2016-2017],Dec 2015,"18,309",Petrol,Automatic,Automatic,Gold,Second,Not Available,Comprehensive,₹ 5.39 Lakh
Noida,Hyundai,i10,1.1L iRDE ERA Special Edition,Feb 2013,"75,789",Petrol + Cng,Manual,Manual,White,First,Not Available,Not Available,₹ 2.5 Lakh
Bangalore,Mahindra,TUV300,T6 Plus,Feb 2016,"1,80,585",Diesel,Manual,Manual,White,First,Not Available,Third Party,₹ 4.95 Lakh
Delhi,Datsun,Go,T [2018-2019],Jun 2018,"20,000",Petrol,Manual,Manual,Red,First,Not Available,Not Available,₹ 3 Lakh
Delhi,Maruti Suzuki,Swift DZire,ZXI,Jun 2012,"62,000",Petrol,Manual,Manual,White,First,Not Available,Comprehensive,₹ 3.35 Lakh
Bangalore,Mahindra,Bolero,Power Plus ZLX [2016-2019],Nov 2016,"1,02,914",Diesel,Manual,Manual,White,First,Not Available,Comprehensive,₹ 7.45 Lakh
Bangalore,Mahindra,XUV500,W6,Jan 2012,"1,27,570",Diesel,Manual,Manual,White,First,Not Available,Not Available,₹ 8.4 Lakh
Mumbai,Volkswagen,Polo,Comfortline 1.2L (P),Mar 2018,"10,930",Petrol,Manual,Manual,White,First,Not Available,"Comprehensive , till 24 May 2022",₹ 5.95 Lakh
Pune,Ford,Ecosport,Titanium 1.5 TDCi (Opt),Jun 2018,"95,000",Diesel,Manual,Manual,Black,First,Not Available,Not Available,₹ 9.25 Lakh
Mumbai,Maruti Suzuki,Ciaz,Zeta 1.4 AT,Mar 2018,"15,000",Petrol,Automatic,Automatic,White,First,Not Available,"Comprehensive , till 31 May 2022",₹ 9.7 Lakh
Hyderabad,Maruti Suzuki,Baleno,Zeta 1.3,Jun 2018,"43,012",Diesel,Manual,Manual,Blue,First,Not Available,Not Available,₹ 7.9 Lakh
Hyderabad,Renault,Kwid,1.0 RXT [2016-2019],Jun 2017,"35,287",Petrol,Manual,Manual,Silver,First,Not Available,Not Available,₹ 3.75 Lakh
Hyderabad,Maruti Suzuki,Swift DZire,VDI,Jun 2011,"1,09,152",Diesel,Manual,Manual,Grey,Second,Not Available,Not Available,₹ 3.4 Lakh
Hyderabad,Maruti Suzuki,Celerio,VDi [2015-2017],Jun 2015,"58,378",Diesel,Manual,Manual,Grey,First,Not Available,Not Available,₹ 3.6 Lakh
Hyderabad,Maruti Suzuki,Wagon R,VXI AMT,Jun 2016,"37,861",Petrol,Automatic,Automatic,Grey,First,Not Available,Not Available,₹ 4.8 Lakh
Hyderabad,Hyundai,Eon,Magna [2011-2012],Jun 2012,"48,224",Petrol,Manual,Manual,Red,First,Not Available,Not Available,₹ 2.75 Lakh
Hyderabad,Maruti Suzuki,Ignis,Zeta 1.3 Diesel [2017-2018],Jun 2018,"28,340",Diesel,Manual,Manual,White,First,Not Available,Not Available,₹ 5.8 Lakh
Pune,Toyota,Fortuner,3.0 MT,Jun 2010,"1,24,000",Diesel,Manual,Manual,Black,First,Not Available,Third Party,₹ 10.35 Lakh
Pune,Hyundai,Elite i20,Asta 1.2 AT,May 2018,"22,077",Petrol,Automatic,Automatic,White,First,Pimpri Chinchwad,"Comprehensive , till 17 Jul 2022",₹ 7.75 Lakh
Pune,MG,Hector,Sharp 1.5 DCT Petrol [2019-2020],Jun 2019,"8,480",Petrol,Automatic,Automatic,White,First,Mumbai,"Third Party , till 14 Jul 2022",₹ 17.85 Lakh
Pune,Maruti Suzuki,S-Cross,Zeta 1.3,May 2019,"8,798",Diesel,Manual,Manual,Blue,First,Solapur,"Comprehensive , till 23 Apr 2022",₹ 10 Lakh
Pune,Maruti Suzuki,A-Star,Vxi (ABS) AT,Feb 2013,"27,631",Petrol,Automatic,Automatic,Silver,First,Pune,"Third Party , till 17 Aug 2022",₹ 3.05 Lakh
Pune,Honda,City,VX CVT,Jun 2018,"9,800",Petrol,Automatic,Automatic,Grey,First,Not Available,Third Party,₹ 11.25 Lakh
Hyderabad,Ford,Ecosport,Titanium 1.5 TDCi (Opt),Oct 2013,"1,04,041",Diesel,Manual,Manual,White,First,MEDCHAL,Not Available,₹ 5.85 Lakh
Hyderabad,Maruti Suzuki,Ertiga,VDi,Jun 2012,"88,485",Diesel,Manual,Manual,Blue,First,Not Available,Not Available,₹ 5.9 Lakh
Hyderabad,Maruti Suzuki,Ertiga,ZDi,Jun 2013,"91,259",Diesel,Manual,Manual,Grey,First,Not Available,Not Available,₹ 6.25 Lakh
Hyderabad,Hyundai,i10,Sportz 1.2 Kappa2,Apr 2014,"19,673",Petrol,Manual,Manual,Grey,First,Hyderabad,"Comprehensive , till 10 May 2022",₹ 4.25 Lakh
Ahmedabad,Maruti Suzuki,Ritz,VXI BS-IV,Jul 2011,"16,500",Petrol,Manual,Manual,Silver,First,Not Available,"Comprehensive , till 29 Jun 2022",₹ 2.9 Lakh
Ahmedabad,Honda,City,VX (O) MT,Feb 2016,"65,151",Petrol,Manual,Manual,White,First,Ahmedabad,"Comprehensive , till 01 Mar 2022",₹ 7.4 Lakh
Ahmedabad,Honda,Jazz,V Petrol,Jan 2017,"39,123",Petrol,Manual,Manual,Red,First,Ahmedabad,"Comprehensive , till 15 Feb 2022",₹ 5.9 Lakh
Ahmedabad,Tata,Nexon,XZ Plus,Sep 2020,"7,500",Petrol,Manual,Manual,Green,First,Not Available,"Comprehensive , till 16 Sep 2021",₹ 10.9 Lakh
Ahmedabad,Toyota,Innova,2.8 ZX AT 7 STR [2016-2020],Mar 2018,"44,000",Diesel,Automatic,Automatic,Bronze,First,Not Available,"Comprehensive , till 19 Feb 2022",₹ 19.75 Lakh
Ahmedabad,Tata,Hexa,XM 4x2 7 STR,Nov 2017,"48,700",Diesel,Manual,Manual,Grey,First,Not Available,Not Available,₹ 9.75 Lakh
Hyderabad,Maruti Suzuki,Swift,VDi,Jun 2013,"85,694",Diesel,Manual,Manual,Grey,Second,Not Available,Not Available,₹ 4.49 Lakh
Hyderabad,Maruti Suzuki,Swift,VDi,Jun 2009,"1,14,404",Diesel,Manual,Manual,White,First,Not Available,Not Available,₹ 3.2 Lakh
Pune,Honda,City,1.5 GXi,Jun 2004,"99,000",Petrol,Manual,Manual,Gold,First,Not Available,Comprehensive,₹ 1.41 Lakh
Pune,Honda,CR-V,2.4 AT,Jun 2004,"52,898",Petrol,Automatic,Automatic,Silver,Second,Not Available,Third Party,₹ 2.21 Lakh
Pune,Hyundai,Santro,XP,Jun 2007,"1,19,000",Petrol,Manual,Manual,White,First,Not Available,Not Available,₹ 1.3 Lakh
Hyderabad,Maruti Suzuki,Eeco,5 STR [2014-2019],Jun 2010,"40,689",Petrol,Manual,Manual,Silver,First,Not Available,Not Available,₹ 2.7 Lakh
Hyderabad,Hyundai,Verna,VGT CRDi ABS,Jun 2010,"75,456",Diesel,Manual,Manual,Silver,Second,Not Available,Not Available,₹ 3.75 Lakh
Mumbai,Maruti Suzuki,Baleno,Alpha Automatic,Jan 2020,"10,953",Petrol,Automatic,Automatic,Grey,First,Not Available,"Comprehensive , till 25 Jun 2022",₹ 9.85 Lakh
Pune,Honda,City,S Diesel,Jun 2014,"1,67,118",Diesel,Manual,Manual,Silver,Second,Not Available,Third Party,₹ 5.5 Lakh
Delhi,Honda,City,VX Diesel,Jun 2014,"13,000",Diesel,Manual,Manual,White,First,Not Available,Comprehensive,₹ 7.6 Lakh
Delhi,Toyota,Fortuner,3.0 4x4 AT,Jun 2015,"1,18,000",Diesel,Automatic,Automatic,White,First,Not Available,Comprehensive,₹ 18 Lakh
Delhi,Mahindra,XUV500,W6 1.99,Jun 2018,"30,000",Diesel,Manual,Manual,White,First,Not Available,Comprehensive,₹ 12 Lakh
Mumbai,Jeep,Compass,Limited Plus Petrol AT,Oct 2020,"5,245",Petrol,Automatic,Automatic,Black,First,Not Available,"Comprehensive , till 02 Jun 2022",₹ 22.25 Lakh
Mumbai,Mahindra,XUV500,W11 (O) AT,Jan 2019,"15,291",Diesel,Automatic,Automatic,Black,First,Not Available,"Comprehensive , till 17 Mar 2022",₹ 18.25 Lakh
Hyderabad,Maruti Suzuki,Ignis,Zeta 1.3 Diesel [2017-2018],Jun 2018,"28,340",Diesel,Manual,Manual,White,First,Not Available,Not Available,₹ 5.8 Lakh
Hyderabad,Maruti Suzuki,Baleno,Zeta 1.3,Jun 2018,"43,012",Diesel,Manual,Manual,Blue,First,Not Available,Not Available,₹ 7.9 Lakh
Hyderabad,Renault,Kwid,1.0 RXT [2016-2019],Jun 2017,"35,287",Petrol,Manual,Manual,Silver,First,Not Available,Not Available,₹ 3.75 Lakh
Hyderabad,Maruti Suzuki,Swift DZire,VDI,Jun 2011,"1,09,152",Diesel,Manual,Manual,Grey,Second,Not Available,Not Available,₹ 3.4 Lakh
